"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"group_1260	group_1259","","M16-like peptidase	M16-like peptidase","25	1","25	1","1	1","1	1","751	665","449","1","","L_01097___25210","L_00896___61326","L_00899___68843","L_00890___17185","L_01002___80462","L_00940___76444","L_00276___27495	L_00275___27493","L_00905","L_00505___31805","L_01002___37026","L_00936___41288","L_00974___45127","L_01813___11302","L_00883___72602","L_00880___65099","L_00880___1817","L_00997___49006","L_00225___90705","L_00929___57589","L_00948___5688","L_00950___84315","L_00969___88256","L_00925___21022","L_01758___14951","L_02068___55589"
"group_1278	group_1277","","hypothetical protein	hypothetical protein","4	25","4	25","1	1","1	1","327	491","314","1","","L_01163___25345","L_00948___61433	L_00949___61435","L_00949___68946	L_00950___68948","L_00939___17286	L_00940___17288","L_01067___80595","L_01003___76573","L_01132___29262","L_00967","L_00443___31677	L_00442___31675","L_01056___37137","L_00999___41418","L_01040___45263","L_00036___7632","L_00929___72697","L_00926___65194","L_00926___1912","L_01058___49132","L_00289___90836","L_00992___57718","L_01009___5815","L_01006___84431","L_01025___88372","L_00981___21138","L_01806___15050","L_02014___55479"
"cysU	cysU_1","","sulfate ABC transporter permease protein CysU	sulfate ABC transporter permease protein CysU","25	1","25	1","1	1","1	1","484	328","352","1","","L_01170___25360","L_00956___61450","L_00957___68963","L_00947___17303","L_01074___80610","L_01010___76588","L_01125___29247","L_00974","L_00435___31660","L_01063___37152","L_01006___41433","L_01047___45278","L_00043___7647","L_00936___72712","L_00933___65209","L_00933___1927","L_01065___49146","L_00296___90851","L_00999___57733","L_01016___5830","L_01013___84446","L_01032___88386","L_00988___21153","L_01813___15065","L_02007___55465	L_02006___55463"
"gpmI_1	gpmI_2	gpmI","","phosphoglycerate mutase	phosphoglycerate mutase	phosphoglycerate mutase","1	5	25","1	5	25","1	1	1","1	1	1","404	403	406","362	5","1	11","","L_01233___25491	L_01232___25489","L_01019___61581","L_01018___69090","L_01008___17430","L_01137___80741","L_01072___76717","L_00294___27533	L_00295___27535","L_01035","L_00370___31525","L_01136___37302	L_01135___37300","L_01068___41562","L_01107___45403","L_00105___7776","L_01000___72845","L_00994___65336","L_00996___2058","L_01132___49285","L_00357___90978","L_01061___57862	L_01060___57860","L_01080___5963	L_01079___5961","L_01075___84575","L_01097___88521","L_01049___21280","L_01878___15200	L_01877___15198","L_01938___55322"
"ppsA_1	ppsA","","phosphoenolpyruvate synthase/water dikinase	phosphoenolpyruvate synthase/water dikinase","1	25","1	25","1	1","1	1","54	57","409","1","","L_01269___25564","L_01055___61654","L_01052___69159","L_01043___17501","L_01172___80812","L_01106___76786","L_00882___28746","L_01070","L_00333___31450","L_01175___37381","L_01103___41633","L_01142___45474","L_00143___7853","L_01036___72918","L_01030___65409","L_01032___2131","L_01173___49368","L_00392___91049","L_01096___57933","L_01116___6036","L_01111___84648","L_01133___88594","L_01085___21353","L_01916___15277","L_01893___55231	L_01894___55233"
"lpxB	lpxB_2","","lipid A disaccharide synthase LpxB	lipid A disaccharide synthase LpxB","25	1","25	1","1	1","1	1","3351	3350","296","1","","L_01324___25675","L_01167___61881","L_01159___69375","L_01153___17723","L_01230___80929","L_01162___76899","L_00146___27230","L_01174","L_00275___31333","L_01238___37508","L_01160___41748","L_01196___45583","L_00260___8089","L_01143___73134","L_01137___65625","L_01140___2349","L_01297___49617","L_00448___91162","L_01153___58048","L_01173___6151","L_01219___84867","L_01243___88817","L_01191___21568","L_00088___11501","L_01760___54963	L_01761___54965"
"ispG_1	ispG","","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase","1	25","1	25","1	1","1	1","3359	3361","395","1","","L_01331___25689","L_01175___61897","L_01166___69389","L_01160___17737","L_01237___80943","L_01169___76913","L_00139___27216","L_01181","L_00268___31319","L_01245___37522","L_01167___41762","L_01203___45597","L_00267___8103","L_01150___73148","L_01144___65639","L_01147___2363","L_01305___49633	L_01306___49635","L_00455___91176","L_01160___58062","L_01180___6165","L_01226___84881","L_01250___88831","L_01198___21582","L_00095___11515","L_01753___54949"
"tag","","methyladenine glycosylase family protein","25","25","1","1","3373","","","","L_01341___25710","L_01184___61916","L_01175___69408","L_01169___17756","L_01246___80962","L_01178___76932","L_00129___27195","L_01190","L_00259___31300","L_01257___37547","L_01176___41781","L_01212___45616","L_00276___8122","L_01159___73167","L_01153___65658","L_01156___2382","L_01318___49660","L_00464___91195","L_01169___58081","L_01189___6184","L_01235___84900","L_01259___88850","L_01207___21601","L_00104___11534","L_01742___54926"
"lpxX	lpxX_1","","decanoyltransferase LpxX	decanoyltransferase LpxX","25	1","25	1","1	1","1	1","3380	33","430","1","","L_01347___25722","L_01190___61928","L_01181___69420","L_01175___17768","L_01252___80974","L_01184___76944","L_00122___27181","L_01196","L_00253___31288","L_01263___37559","L_01182___41793","L_01218___45628","L_00282___8134","L_01166___73181","L_01159___65670","L_01162___2394","L_01326___49676	L_01325___49674","L_00470___91207","L_01175___58093","L_01195___6196","L_01241___84912","L_01265___88862","L_01213___21613","L_00111___11548","L_01736___54914"
"leuA_2	leuA","","2-isopropylmalate synthase	2-isopropylmalate synthase","1	25","1	25","1	1","1	1","3393	3395","141","4","","L_01358___25744","L_01201___61950","L_01192___69442","L_01186___17790","L_01263___80996","L_01196___76968","L_00047___27026	L_00046___27024","L_01207","L_00242___31265","L_01275___37583","L_01193___41815","L_01227___45646","L_00292___8154","L_01176___73201","L_01169___65690","L_01174___2418","L_01338___49700","L_00481___91229","L_01185___58113","L_01207___6220","L_01252___84935","L_01277___88887","L_01225___21638","L_00122___11570","L_01724___54889"
"truA	truA_1","","tRNA pseudouridine synthase A	tRNA pseudouridine synthase A","25	2","25	2","1	1","1	1","3435	3434","387","1","","L_01396___25825","L_01238___62029","L_01230___69523","L_01223___17869","L_01303___81081","L_01235___77051","L_00999___28983","L_01244","L_00202___31180	L_00201___31178","L_01311___37660	L_01312___37662","L_01230___41894","L_01265___45727","L_00324___8223","L_01209___73272","L_01201___65759","L_01206___2487","L_01374___49777","L_00520___91312","L_01225___58198","L_01244___6299","L_01284___85004","L_01310___88958","L_01257___21707","L_00154___11639","L_01686___54808"
"group_1328","","putative signal-transduction protein containing cAMP-binding and CBS domains","25","25","1","1","3448","","","","L_01408___25850","L_01250___62054","L_01242___69548","L_01235___17894","L_01315___81106","L_01247___77076","L_00987___28958","L_01256","L_00191___31157","L_01325___37689","L_01242___41919","L_01277___45752","L_00336___8248","L_01219___73293","L_01211___65780","L_01216___2508","L_01386___49802","L_00532___91337","L_01237___58223","L_01256___6324","L_01296___85029","L_01322___88983","L_01269___21732","L_00166___11664","L_01673___54781"
"group_1329","","rhomboid family protein","25","25","1","1","3462","","","","L_01422___25878","L_01264___62082","L_01256___69576","L_01249___17922","L_01330___81136","L_01262___77106","L_00973___28930","L_01269","L_00177___31129","L_01339___37717","L_01255___41945","L_01291___45780","L_00350___8276","L_01233___73321","L_01225___65808","L_01230___2536","L_01400___49830","L_00546___91365","L_01251___58251","L_01270___6352","L_01310___85057","L_01336___89011","L_01283___21760","L_00180___11692","L_01659___54753"
"cstA_2	cstA","","carbon starvation protein CstA	carbon starvation protein CstA","1	25","1	25","1	1","1	1","9	3476","149","4","","L_01435___25905","L_01276___62107","L_01268___69601","L_01261___17947","L_01343___81163","L_01275___77133","L_00959___28901	L_00958___28899","L_01282","L_00164___31102","L_01353___37746","L_01268___41972","L_01303___45805","L_00362___8301","L_01245___73346","L_01238___65835","L_01243___2563","L_01415___49861","L_00558___91390","L_01265___58280","L_01282___6377","L_01322___85082","L_01348___89036","L_01295___21785","L_00193___11719","L_01644___54722"
"comEC_1	comEC","","competence protein ComEC	competence protein ComEC","1	25","1	25","1	1","1	1","3512	3514","429","1","","L_01466___25972","L_01308___62176","L_01300___69670","L_01293___18016","L_01375___81232","L_01306___77200","L_01090___29175","L_01313","L_00135___31038","L_01388___37821	L_01389___37823","L_01300___42041","L_01333___45871","L_00395___8372","L_01276___73413","L_01269___65902","L_01274___2630","L_01451___49939","L_00589___91457","L_01297___58349","L_01314___6446","L_01353___85150","L_01380___89106","L_01326___21853","L_00226___11790","L_01608___54645"
"kdsA	kdsA_2","","3-deoxy-8-phosphooctulonate synthase KdsA	3-deoxy-8-phosphooctulonate synthase KdsA","25	1","25	1","1	1","1	1","3526	3524","447","1","","L_01470___25980","L_01312___62184","L_01304___69678","L_01297___18024","L_01379___81240","L_01310___77208","L_01094___29183","L_01317","L_00131___31030","L_01394___37833	L_01395___37835","L_01304___42049","L_01337___45879","L_00399___8380","L_01281___73423","L_01273___65910","L_01279___2640","L_01455___49947","L_00593___91465","L_01302___58359","L_01318___6454","L_01358___85160","L_01385___89116","L_01330___21861","L_00230___11798","L_01604___54637"
"clpB_1	clpB","","ATP-dependent chaperone ClpB	ATP-dependent chaperone ClpB","1	25","1	25","1	1","1	1","908	959","335","1","","L_01511___26064","L_01355___62272","L_01345___69762","L_01339___18110","L_01422___81328","L_01352___77294","L_00864___28708","L_01360","L_00089___30944","L_01445___37937	L_01446___37939","L_01345___42133","L_01378___45963","L_00441___8466","L_01323___73509","L_01315___65996","L_01321___2726","L_01503___50045","L_00635___91551","L_01343___58443","L_01362___6544","L_01400___85246","L_01429___89206","L_01371___21945","L_00273___11886","L_01553___54533"
"ompG1b","","outer membrane protein G1b","25","25","1","1","980","","","","L_01526___26097","L_01371___62307","L_01360___69795","L_01354___18143","L_01437___81361","L_01367___77327","L_00847___28670","L_01375","L_00074___30911","L_01464___37978","L_01361___42168","L_01393___45996","L_00456___8499","L_01339___73544","L_01330___66029","L_01336___2759","L_01519___50080","L_00650___91584","L_01358___58476","L_01377___6576","L_01415___85279","L_01444___89239","L_01387___21980","L_00288___11919","L_01534___54491"
"folC_1	folC_3	folC","","bifunctional protein FolC	bifunctional protein FolC	bifunctional protein FolC","1	1	25","1	1	25","1	1	1","1	1	1","1017	1016	2637","389	337","1	1","","L_01563___26177","L_01408___62387","L_01397___69875","L_01391___18223","L_01475___81443","L_01404___77407","L_00809___28589","L_01412","L_00037___30832","L_01640___38341","L_01398___42248","L_01430___46076","L_00494___8581","L_01376___73624","L_01367___66109","L_01373___2839","L_01622___50293","L_00687___91664","L_01395___58556","L_01415___6658","L_01452___85358","L_01482___89320","L_01424___22059","L_00399___12151","L_01493___54404	L_01495___54408	L_01494___54406"
"tyrS	tyrS_1","","tyrosyl-tRNA synthetase	tyrosyl-tRNA synthetase","25	2","25	2","1	1","1	1","2406	1938","433","1","","L_01613___26282","L_01813___63225","L_01806___70720","L_01792___19053","L_01888___82294","L_01805___78234","L_01838___30729","L_01800","L_01522___33902","L_02103___39292","L_01792___43062","L_01828___46899","L_00889___9397","L_01774___74447","L_01763___66928","L_01780___3680","L_02103___51279	L_02104___51281","L_01103___92521","L_01815___59421","L_01814___7481","L_01850___86180","L_01891___90163","L_01822___22881","L_00805___12988","L_01034___53461	L_01033___53459"
"group_1364","","putative methylitaconate delta2-delta3-isomerase","25","25","1","1","2393","","","","L_01622___26300","L_01821___63241","L_01814___70736","L_01800___19069","L_01898___82314","L_01814___78252","L_01847___30747","L_01808","L_01503___33864","L_02113___39312","L_01800___43078","L_01837___46917","L_00897___9413","L_01783___74465","L_01772___66946","L_01789___3698","L_02113___51299","L_01113___92541","L_01823___59437","L_01834___7521","L_01869___86218","L_01910___90201","L_01841___22919","L_00814___13006","L_01023___53439"
"sun	sun_1","","16S rRNA m5C967 SAM-dependent methyltransferase	16S rRNA m5C967 SAM-dependent methyltransferase","25	1","25	1","1	1","1	1","2376	1952","310","1","","L_01632___26320","L_01831___63261","L_01825___70758","L_01810___19089","L_01908___82334","L_01824___78272","L_00329___27605","L_01818","L_01493___33844","L_02124___39334","L_01810___43098","L_01847___46937","L_00907___9433","L_01794___74487","L_01782___66966","L_01799___3718","L_02124___51321	L_02123___51319","L_01123___92561","L_01832___59455","L_01844___7541","L_01879___86238","L_01922___90225","L_01850___22937","L_00824___13026","L_01012___53417"
"group_1373	group_1372","","putative sodium bile acid symporter	putative sodium bile acid symporter","1	25","1	25","1	1","1	1","2292	2293","81","1","","L_01686___26431","L_00046___59570","L_00046___67081","L_00045___15439","L_00091___78586","L_00048___74604","L_01758___30564","L_00054","L_01435___33725	L_01436___33727","L_00053___35075","L_00044___39448","L_00044___43207","L_00963___9548","L_00053___70887","L_00053___63390","L_00053___108","L_00054___47066","L_01178___92674","L_00047___55770","L_00045___3829","L_00046___82447","L_00047___86353","L_00045___19202","L_00879___13139","L_00945___53280"
"group_1374","","cobalamin synthesis protein P47K","25","25","1","1","2282","","","","L_01696___26452","L_00055___59589","L_00055___67100","L_00054___15458","L_00100___78605","L_00057___74623","L_01749___30545","L_00063","L_01426___33706","L_00063___35096","L_00053___39467","L_00053___43226","L_00972___9567","L_00062___70906","L_00062___63409","L_00062___127","L_00064___47087","L_01187___92693","L_00056___55789","L_00054___3848","L_00055___82466","L_00056___86372","L_00054___19221","L_00890___13162","L_00934___53257"
"group_1375","","truncated secretion protein HlyD","25","25","1","1","2240","","","","L_01734___26533","L_00091___59665","L_00090___67174","L_00089___15532","L_00137___78684","L_00094___74702","L_01711___30464","L_00101","L_01388___33626","L_00108___35190","L_00091___39548","L_00090___43305","L_01009___9646","L_00099___70984","L_00099___63487","L_00099___205","L_00105___47175","L_01223___92770","L_00091___55864","L_00091___3926","L_00092___82545","L_00094___86453","L_00091___19300","L_00928___13243","L_00896___53177"
"pilB_1	pilB","","type IV pilus assembly ATPase PilB	type IV pilus assembly ATPase PilB","1	25","1	25","1	1","1	1","2000	2232","450","1","","L_01744___26553","L_00101___59685","L_00102___67198","L_00101___15556","L_00148___78706","L_00105___74724","L_01701___30444","L_00112","L_01376___33602","L_00119___35212","L_00103___39572","L_00102___43329","L_01018___9664","L_00111___71008","L_00111___63511","L_00111___229","L_00116___47197","L_01234___92792","L_00102___55886","L_00101___3946","L_00104___82569","L_00106___86477","L_00103___19324","L_00937___13261","L_00886___53157	L_00887___53159"
